
	Representative rates for the period  January 01, 2011 - December 31, 2011
	Date	Australian dollar(AUD)	Canadian dollar(CAD)	Chinese yuan(CNY)	euro(EUR)	Indian rupee(INR)	Japanese yen(JPY)	Korean won(KRW)	New Zealand dollar(NZD)	Singapore dollar(SGD)	Swedish krona(SEK)	Swiss franc(CHF)	U.K. pound sterling(GBP)	
	15-Nov-2011	1.0169  	1.0235  	6.3436  	1.3532  	50.56  	77.1  	1120.6  	0.7805  	1.2878  	6.7162  	0.9168  	1.5866  	
	16-Nov-2011	1.0086  	1.0206  	6.3509  	1.3484  	50.9  	77.09  	1126.2  	0.7714  	1.2969  	6.7698  	0.9184  	1.5771  	
	17-Nov-2011	1.01  	1.0226  	6.3553  	1.348  	50.72  	77.04  	1134.5  	0.7656  	1.293  	6.7973  	0.9215  	1.5747  	
	18-Nov-2011	0.9997  	1.0262  	6.3548  	1.3576  	51.35  	76.97  	1137.6  	0.7589  	1.2957  	6.791  	0.9108  	1.5882  	
	21-Nov-2011	0.9979  	1.0385  	6.3522  	1.3458  	51.72  	76.83  	1136.4  	0.7569  	1.2994  	6.8022  	0.9202  	1.5658  	
	22-Nov-2011	0.9842  	1.0368  	6.3555  	1.3535  	52.7  	76.97  	1139.6  	0.7471  	1.3032  	6.7924  	0.9117  	1.5655  	
	23-Nov-2011	0.9771  	1.048  	6.3498  	1.3387  	52.1  		1146.6  	0.7473  	1.3055  	6.8572  	0.9182  	1.5583  	
	28-Nov-2011	0.9837  	1.0327  	6.3585  	1.3348  	51.98  	77.63  	1159.9  	0.7489  	1.3053  	6.9577  	0.9201  	1.5574  	
	29-Nov-2011	0.9932  	1.0296  	6.3587  	1.3336  	51.93  	78.2  	1154.9  	0.7556  	1.2993  	6.9425  	0.9179  	1.5621  	
	30-Nov-2011	1.0021  	1.0197  	6.3482  	1.3418  	52.17  	78.05  	1150.3  	0.761  	1.2956  	6.9259  	0.9217  	1.5608  	
	01-Dec-2011	1.0256  	1.0174  	6.3353  	1.3492  	51.65  	77.68  	1140.6  	0.7794  	1.2843  	6.7961  	0.91  	1.571  	
	02-Dec-2011	1.0223  	1.0165  	6.331  	1.3511  	51.35  	77.78  	1127.2  	0.7786  	1.2853  	6.7576  	0.9156  	1.5692  	
	05-Dec-2011	1.0214  	1.0141  	6.3349  	1.3442  	51.39  	78  	1127.7  	0.7793  	1.2831  	6.7382  	0.9218  	1.5636  	
	06-Dec-2011	1.0176  	1.0117  	6.3334  	1.3394  		77.77  	1130.3  	0.7798  	1.2849  	6.7717  	0.9236  	1.5628  	
	07-Dec-2011	1.0266  	1.0105  	6.3342  	1.3377  	51.45  	77.72  	1131.2  	0.7803  	1.2828  	6.7169  	0.9281  	1.5603  	
	08-Dec-2011	1.0269  	1.0193  	6.3319  	1.341  	51.78  	77.65  	1126.8  	0.7799  	1.2869  	6.7204  	0.9238  	1.5707  	
	09-Dec-2011	1.0131  	1.0201  	6.3352  	1.3384  	52.23  	77.7  	1130.9  	0.7723  	1.2995  	6.7994  	0.9204  	1.5713  	
	12-Dec-2011	1.0166  	1.0275  	6.3297  	1.3251  	52.42  	77.65  	1142.3  	0.7749  	1.2943  	6.795  	0.9302  	1.5606  	
	13-Dec-2011	1.0093  	1.0284  	6.3359  	1.3181  	53.4  	77.94  	1145  	0.763  	1.3004  	6.859  	0.9348  	1.5614  	
	14-Dec-2011	1.0017  	1.0406  	6.3396  	1.2993  	53.58  	77.97  	1155.4  	0.7568  	1.3055  	6.9744  	0.9475  	1.5495  	
	15-Dec-2011	0.9895  	1.0337  	6.3421  	1.3019  	54.24  	78.07  	1158.5  	0.7505  	1.3104  	6.9759  	0.944  	1.55  	
	16-Dec-2011	0.9985  	1.0388  	6.3352  	1.3064  	52.81  	77.88  	1161.4  	0.7536  	1.3033  	6.9613  	0.9397  	1.5528  	
	19-Dec-2011	0.9909  	1.0364  	6.3303  	1.3039  	52.96  	77.89  	1156.5  	0.7637  	1.3069  	6.9149  	0.9365  	1.5504  	
	20-Dec-2011	0.9938  	1.0285  	6.3351  	1.3074  		78.01  	1169.5  	0.7559  	1.3066  	6.9106  	0.9312  	1.5635  	
	21-Dec-2011	1.0138  	1.0286  	6.3248  	1.3054  	52.68  	77.87  	1167.1  	0.7677  	1.2938  	6.818  	0.9323  	1.5678  	
	22-Dec-2011	1.0082  	1.0214  	6.3253  	1.3047  	52.78  	78.12  	1150.9  	0.7704  	1.2953  	6.854  	0.9359  	1.5686  	
	23-Dec-2011	1.017  	1.0208  	6.3209  	1.3057  	52.72  		1156.2  	0.7743  	1.2911  	6.8542  	0.9359  	1.5678  	
	27-Dec-2011			6.3152  	1.3069  	52.89  	77.92  	1150  		1.2953  	6.8454  	0.9337  		
	28-Dec-2011	1.0156  	1.0234  	6.3146  	1.3074  	53.21  	77.81  	1156.4  		1.2983  	6.8427  	0.9327  	1.5671  	
	29-Dec-2011	1.0101  	1.021  	6.3157  	1.2889  	53.36  	77.76  	1157.4  		1.3006  	6.9259  	0.9456  	1.5371  	
	30-Dec-2011	1.0156  		6.3009  	1.2939  	53.27  	77.72  	1153.3  		1.3007  	6.9234  	0.9409  	1.5461  	
	
	USER SELECTIONS
	
	
	EXCHANGE RATE TYPE	Representative rates
	FROM DATE	January 01, 2011  
	TO DATE	December 31, 2011  
	CURRENCIES	euro,Japanese yen,U.K. pound sterling,Australian dollar,Canadian dollar
		Chinese yuan,Indian rupee,Korean won,New Zealand dollar,Singapore dollar
		Swedish krona,Swiss franc
	
	Disclaimer
	The International Monetary Fund makes no warranties, express or implied, regarding these
	tables or the performance of this site. The Fund shall not be liable for any losses 
	or damages incurred in connection with this site.
